;title;year,
0;Кроссплатформенная js-библиотека для мобильных устройств и браузеров;2017,
1;Мета-анализ протоколов клинических исследований: их доступность и качество;2017,
2;Интерполяция карт глубины с помощью сверточных нейронных сетей;2017,
3;Количественная оценка целесообразности инвестирования в строительство сети заправочных станций для электромобилей;2017,
4;Исследование методов уменьшения дисперсии в стохастических графах вычислений;2017,
5;Андроид-приложение для оптического распознавания нотной записи и воспроизведения мелодий на виртуальном фортепиано;2017,
6;Система сентимент-анализа на основе отзывов о мероприятиях;2017,
7;Мультиплатформенная программная система синхронной записи данных исследований пользователей;2017,
8;Извлечение визуальных признаков для товарных рекомендаций;2017,
9;Интеллектуальная кластеризация текстовых данных;2017,
10;Адаптивная фильтрация изображений с агрегированием фильтров в рамках теории свидетельств;2017,
11;Декомпозиции булевых тензоров в рекомендательных системах;2017,
12;Программа для построения лингвистических резюме временных рядов, полученных из журнала событий платформы обучения Moodle;2017
13;Оптимальные стратегии обучения каскадов классификаторов;2017,
14;Сервис построения маршрутов для ознакомления с достопримечательностями на основании предпочтений пользователя;2017,
15;Оценка глубины сцены из видеопоследовательности;2017,
16;Реализация и оценка качества ресурсно-эффективных алгоритмов для метрической задачи коммивояжера;2017,
17;Мышление уровня k и неприятие неопределенности;2017,
18;Информационная система компании ATC Consulting & Logistics для поддержки процессов доставки грузов;2017,
19;Мобильный сервис ресторанного меню на основе шаблонов;2017,
20;Распределенное хранилище объектов с Amazon S3-совместимым REST API;2017,
21;Логика экзистенциализма;2017,
22;Прогнозирование покупок в потоковых данных;2017,
23;Применение RGB-D сегментации для реконструкции трехмерной сцены на основе карты глубины;2017,
24;Классификация документов на основе машинного обучения;2017,
25;Программа прогнозирования нечетких временных рядов на основе Z-чисел;2017,
26;Программа для ранжирования альтернативных решений на основе нечеткого метода анализа иерархий;2017,
27;Робастные методы сжатия многомерных показателей;2017,
28;Моделирование многомерных устойчивых процессов со случайным временем;2017,
29;Методы Монте-Карло для задачи оптимальной остановки;2017,
30;Этническое разнообразие стран: общие закономерности или отдельные примеры?;2017,
31;Инструменты предварительной интерактивной визуализации источника открытых данных;2017,
